yelp_business_id,friend_checkin_count,fof_checkin_count,social_unique_visitors,social_diversity_index,mean_bridge_confidence
7kHvPCBSmRgzDgjO9xXT1g,11.3568,31.8431,13,2.6391,0.2493
ruE_DRE6fTIE6who59hdfQ,11.2838,20.5817,6,1.9459,0.2345
jLerIZFpe25jOUf722qzBA,11.2583,33.4581,2,1.0986,0.2509
XCY5mYQv-6Y-uOZEOgOhiQ,11.2554,20.5264,9,2.3026,0.2366
iI6S-dv31iV2I16UuXTnPA,11.142,39.5928,1,0.6931,0.1857
oqVdjXJCEOkzLkmQvrBBPg,11.1281,15.8302,5,1.7918,0.2278
ulfMNXHzGVleRf2U5KwiQQ,11.0725,18.5942,2,1.0986,0.2772
9P6lEvHdJL8dy9VPpIgieg,10.855,9.3727,2,1.0986,0.2296
FzHVtXe8-3fFclRBUI9YdA,10.8,36.5996,1,0.6931,0.6
sq3BcLyY4_jZf-zkO2itDA,10.7896,14.9297,7,2.0794,0.2318
caGpaptBP4BKJkpH5W6cvA,10.7614,26.8527,5,1.7918,0.238
dHYGLQkSxp8nFyzydmgeVw,10.7566,40.212,2,1.0986,0.2429
85e8Uyn8tIyEZCqBP80rqA,10.7517,13.9214,1,0.6931,0.256
onp9X_9RRAEzA-yqdiSOcA,10.749,5.4918,5,1.7918,0.2551
EcBKyEpi8h_rcXwH3HJ8BQ,10.6896,14.7447,3,1.3863,0.2626
LGOyGWr9PwNHkpI5d72bWg,10.6692,28.6613,5,1.7918,0.2218
vwqxAf0cPK0YuMYLYgxYWQ,10.5381,12.7083,6,1.9459,0.2696
niV3iDWcxuKFOJr3qWp9pQ,10.5306,16.9448,5,1.7918,0.2785
HCqmx4ENAZ76SAjoalj-MQ,10.4058,39.1654,6,1.9459,0.2446
huLSnDKrsDoyE0umepeQGA,10.325,16.7286,1,0.6931,0.2458
j76unyU-BZnZQjOMRb2ldw,10.3035,7.1821,4,1.6094,0.2201
ocslNn82QHpG4Zc81sJXBg,10.0708,16.184,6,1.9459,0.2414
wyZX3RxQLDVIzBiXFP4P3A,10.04,0.3758,2,1.0986,0.32
mqlriZ2dy-tf9-jtYRdRqw,10.0364,39.6791,7,2.0794,0.246
C7WUvmGAz_t4FE_ycOPGUA,9.8519,24.3178,6,1.9459,0.2391
2PWmnUV2Leb2Loj0TqxCMA,9.7989,13.5741,13,2.6391,0.2928
y03BVJQmKIVvIuM0rePobw,9.5941,5.2487,1,0.6931,0.2665
n-kphRn0ts4CBIMQCO7UpA,9.5868,5.9929,3,1.3863,0.2322
nyU4OrNGq-rme9lHvtIVIA,9.5121,6.3333,1,0.6931,0.2265
TNTBObKmICMn13T0pyAGyg,9.4621,23.5915,8,2.1972,0.2241
6Al95KtZ_ob3NpyyiueI6Q,9.4596,18.7981,3,1.3863,0.2723
NbzrpJu7222uqxNaf8zskg,9.4325,25.5095,4,1.6094,0.2341
Bii6sQO2QNinBq9vdakNBg,9.4073,23.0278,5,1.7918,0.2688
03an5ytHalUpCjfN8vcjRA,9.3618,14.1374,5,1.7918,0.2229
CZ9SkcpfLZE_MiQfoNr06A,9.3399,10.5398,10,2.3979,0.2497
0Ub8i_sMIOsa0jbXNzsl8A,9.3387,15.5023,3,1.3863,0.2478
ARIw0vhzwUs8WajloVPGZA,9.3217,14.0951,5,1.7918,0.2173
YGxpTJ3fcU96uSoL2kHRAA,9.3078,10.4595,9,2.3026,0.2329
H9XYhNxQWdHAwjTCzOfFMA,9.3034,14.6296,7,2.0794,0.2463
_qJld4xqJfDv76BCu9cY1Q,9.3,0.0,1,0.6931,0.15
-qn6GdZtOI-EqDbGq8Mq6A,9.2005,6.792,1,0.6931,0.2629
7BOX1QyL9mpLcyE4viEXuQ,9.1926,15.1178,1,0.6931,0.2554
Pxc8z7VOtkGNerrGvqzdHw,9.1064,6.2747,2,1.0986,0.2709
PhLYLCjM_dS_seS_fMBVeg,9.0927,15.9436,11,2.4849,0.2489
HKS-63JzfR0DMNVLBuokYw,9.0537,17.7682,8,2.1972,0.2672
dJDMXKwVhExNJFijEUxegw,9.0204,4.0024,2,1.0986,0.2581
Zx05t1cRAipPrpQOtzd9RQ,8.9041,14.6874,9,2.3026,0.2348
5eayf0Y0TY1ufCWXAk_a3Q,8.8594,21.6397,10,2.3979,0.2237
d2Woy2Ocuj2P2FEB6_GeYg,8.8315,6.7197,2,1.0986,0.2198
uOjNbkw8nExqS7dylRcZmw,8.8058,16.6103,4,1.6094,0.2718
utJRw1T1_zjBuCIFFIbe-w,8.7959,7.1807,4,1.6094,0.27
D6tv78balxSAdiUjuM8dGg,8.6704,2.8164,1,0.6931,0.1806
K6hAv8V2cTuXQtU3VHAD6w,8.6006,27.2222,4,1.6094,0.279
LqYfBxumubOTRruzk9Z4zw,8.5593,11.2543,7,2.0794,0.221
37BpNvlEAT6WVGsksrHbBQ,8.5508,17.6804,4,1.6094,0.2206
2m8Gdh2AYepXn0dQBA5y8Q,8.4625,1.8721,1,0.6931,0.2821
6K3i3-hBaRgNAJi03mt1fA,8.3912,8.9213,1,0.6931,0.2098
VmAnLYjAGEp8THxL77O0Yg,8.3777,19.5229,8,2.1972,0.2478
6QyO4JQOHG8fr5_10EhMkQ,8.3654,16.2869,12,2.5649,0.2353
0BoRHt9GuiXzmvNmrBVMOw,8.3613,15.5258,6,1.9459,0.2534
TfSOfMR7s3n9rpoy6u60eQ,8.3575,28.5842,1,0.6931,0.2786
Xsb03EMofMgLioiRLtU19Q,8.3219,11.0564,8,2.1972,0.2543
FDeHDpcRHrs9L6UxRSnGJA,8.32,13.3742,1,0.6931,0.26
P3Oy6-nfqP46PmHJXNPLYA,8.3132,7.3359,2,1.0986,0.2109
g2JHAYFX2tOJubMHSXdYQQ,8.3,53.0592,2,1.0986,0.2833
JJavElE35pux3_CgFt1r0g,8.2887,8.8423,3,1.3863,0.2438
73SBw4e6ntvfJdH2I3NV1w,8.2575,17.5711,4,1.6094,0.2652
h48-yANAvEp5N0YbUtqKQw,8.1384,47.573,2,1.0986,0.2085
TSxF44padg6v9AxLJp-hag,8.1329,36.3957,4,1.6094,0.1994
Nvx2MceKWAtikcAxk_TBMg,8.0834,64.7493,4,1.6094,0.2333
zhdJZc19FDnARtn_r9WDjA,8.0573,9.6996,5,1.7918,0.2761
Ev5UloYOXuw1UTxBKYVXuw,8.0235,7.4912,1,0.6931,0.2675
R0JUjyjGEzUlY3auVhY_tg,8.0147,7.9946,10,2.3979,0.2875
dF5itj5vFZmhwTQZJ-M0uA,7.9972,15.8979,2,1.0986,0.2363
Zo3IyrQqPDMQs_HNhzN7yQ,7.9611,8.4108,2,1.0986,0.2579
CTGvOtbw9dmxtMnZe8FxPw,7.947,20.2801,2,1.0986,0.285
kzRHpO0DvaBY4RQSv7srcg,7.9464,7.3329,5,1.7918,0.2336
NlSMxLoAFaAGba6veFaKyw,7.9254,12.0162,2,1.0986,0.2248
Hi2ADMI1_BEahkXRP4lcjg,7.861,17.4226,6,1.9459,0.2626
z5c4GinIQ5COwvBCeF05hA,7.8556,6.9204,3,1.3863,0.2293
fuiVa2_MABIQS7pINKcoLw,7.8402,13.9793,9,2.3026,0.2569
dGeXdSMah56gEHwZNaRQKA,7.7914,23.6746,7,2.0794,0.2571
B5YzH2QTnHThzrHPt-qHow,7.7736,37.5689,3,1.3863,0.2326
Lx9r_hXHRU9Cg5zwkOBxmA,7.7662,15.5894,7,2.0794,0.235
k2N4V0-8dy-kzgwP5V6CKA,7.7555,5.1843,1,0.6931,0.2585
A_txrI-q_gBgbt1nt0MUCw,7.6913,39.6652,2,1.0986,0.2089
wHiPhPVuGnngEieDBMG00g,7.6868,13.1876,6,1.9459,0.2402
joxy9N8aJv3_6h0aaYuTzA,7.6724,12.2986,3,1.3863,0.2174
zDhF-BMi9Tdubln7PYNc0Q,7.6708,8.9216,2,1.0986,0.2104
RvTHIKHaPVVp8S9cihpi5w,7.6106,8.4974,6,1.9459,0.3031
sdWuLh-auc0nC2Jy6_26AQ,7.5987,14.2419,7,2.0794,0.2473
968Pa4ZZRrRLW5KeWL-k2Q,7.5714,4.8418,3,1.3863,0.3061
2CDI713ATuxHfnB5b-sBdw,7.5344,17.8064,6,1.9459,0.2925
ghFNIv9_Bde6uquScRZD7g,7.5269,12.8687,3,1.3863,0.2592
LQZdcwfqneUIrZTy1VvWfg,7.4363,24.4013,3,1.3863,0.2752
4QnaPR1FJlONov3ANyuOdg,7.4328,9.7554,3,1.3863,0.2516
ItmTAwIBFExWFAmDXnZxBg,7.3982,17.8828,9,2.3026,0.2561
ypXuDmnnPxnfP8a0qLsiEg,7.3157,19.496,6,1.9459,0.2189
Dv6RfXLYe1atjgz3Xf4GGw,7.2893,25.2924,8,2.1972,0.2623
QS6fgF1QGHC9lABq8S395w,7.246,22.8673,2,1.0986,0.2788
4DEO0nDjhS6DifyFP7yJNA,7.2098,5.9792,2,1.0986,0.2317
NABcZKRWQF9-rDVt0P0bhw,7.2024,21.6801,1,0.6931,0.3001
NsEKOHrD605IY1jzPzuf9w,7.1952,34.8246,1,0.6931,0.218
J4ecRGQ_-c2A2vSNLip6Kw,7.089,5.3335,3,1.3863,0.2444
-FMI0_EhMjwXaAgHVGuG2Q,7.0787,13.7043,5,1.7918,0.2799
-y-ZAPuuUN6cbQtFoqiPFw,7.0671,2.9606,2,1.0986,0.2654
fjLJhvR3aGd812OsMcziCQ,7.051,12.1622,2,1.0986,0.2438
XgxPLbAJtHoyR2tBN9yCXw,7.0471,18.6191,5,1.7918,0.2799
xdy61kO_r5p6Zw30dsZ-ng,7.0217,9.4378,1,0.6931,0.2006
a-dPw0ISYHoxMmWgd4mK-g,7.0048,27.3045,5,1.7918,0.2956
PaB1RhsPKZBblFCCP0ZF8Q,7.0,1.86,4,1.6094,0.2
RrmvIZlHhtXOA-ZGAyLWHA,6.9943,26.7058,3,1.3863,0.285
1aps22WlhV4bHPaEQZxkKQ,6.9905,4.6333,2,1.0986,0.2482
w5wfWE6skJDi_-mS56DB-g,6.9779,7.575,5,1.7918,0.2536
qT5xWz87C1glYQgUmG0--Q,6.9469,16.0395,8,2.1972,0.2315
F0DxndGbXNM_yKaIgB6mVA,6.9007,5.6369,4,1.6094,0.2556
S8cEYPmeIpb2q6AWF9Tn5g,6.8847,21.4639,2,1.0986,0.2322
QRotJ0k3qj4ecdqNprStxQ,6.8591,7.6748,3,1.3863,0.2364
9Pvwx_IfQgQL4ykmlGV6yA,6.8396,6.7559,4,1.6094,0.3
HUcjSm1Lxdn8zSu-hQ7-sw,6.8188,6.1361,5,1.7918,0.2744
BNSBdAxsnbXgaj-h-Q_yzA,6.7866,15.0742,7,2.0794,0.2424
COIGymZ4YaKFqsrikYgJ7w,6.7399,15.791,5,1.7918,0.2338
OShS2upZXtPm9fUL-uAtxw,6.7398,21.9485,2,1.0986,0.2173
jOOOrH5n2ijnsZKxzPSAiw,6.737,19.8196,3,1.3863,0.2147
Q7zukQiiH3uUccPOw8vkDA,6.6952,5.5345,1,0.6931,0.2391
kbQlyfJC76FyEFowBslk9w,6.6524,9.7878,3,1.3863,0.2559
QAdaeyJlY8deDP_QbN9ycA,6.6319,17.2157,7,2.0794,0.2143
XnQ84ylyAZwh-XfHGGNBbQ,6.6149,20.6115,12,2.5649,0.2746
5oX4G1cptixPZecih9L3dg,6.5953,24.647,6,1.9459,0.1985
rpyP2hhODCxhAsPmkjOX2g,6.5776,25.341,1,0.6931,0.299
5xokROlB8Zo5T-_qbHzsrQ,6.5712,9.109,3,1.3863,0.2712
kyFsGq8Wnuoy3zWUWB-OkQ,6.5538,17.7333,2,1.0986,0.2614
Co3Ogqy6y2JgZdG0wBlrUQ,6.5124,8.89,3,1.3863,0.2605
aA8_o9e57ey9QX5Nw4WelQ,6.503,11.8493,5,1.7918,0.2471
OAjof8dhS2zScmZh2Xuo1A,6.4897,26.3316,9,2.3026,0.2317
DF_cgKLV_YMDkBaNlE0XoQ,6.4811,27.074,3,1.3863,0.2592
QoezRbYQncpRqyrLH6Iqjg,6.4518,10.0385,2,1.0986,0.2688
L0c6-mnkcV9fXLk0--dkWQ,6.4033,6.3402,6,1.9459,0.2353
A5Hej18CY_Y_YkSJYYU4DA,6.39,4.0871,4,1.6094,0.213
fo4TOAiwYEZ5p13kqg1Ukw,6.3628,2.3457,3,1.3863,0.2272
j-npiXEf5cNnWqU7tdhiHQ,6.3414,4.2222,1,0.6931,0.2265
i_sAh-ylmOwCQmqRmXox8g,6.3395,23.6929,3,1.3863,0.2757
V9BACxNu_td_DJY65gWwBQ,6.3333,14.9782,2,1.0986,0.2667
d8N5KyvlAm4jT-f8EbV5mQ,6.3277,1.5553,5,1.7918,0.187
C26xmwM2_OgJJi2BbL3KkQ,6.3117,11.8405,8,2.1972,0.263
jQBPO3rYkNwIaOdQS5ktgQ,6.3106,12.839,6,1.9459,0.2391
8ZFC_TnP_hAsn0rgoK7KAA,6.3015,7.2893,7,2.0794,0.2495
F9RTAFHpLhmBfVRMOqHoFA,6.2762,9.6109,2,1.0986,0.2528
0FzbiQyBnFnH1OkMol_mgQ,6.242,1.5605,5,1.7918,0.2441
0lKJ_pClGH_ribos6kPeGw,6.24,10.0307,1,0.6931,0.26
HtJzFhS5xBPr3x4Hiom7KA,6.2253,14.2238,5,1.7918,0.2303
iwmW2mgcn2YdirXUHCsgXQ,6.2237,17.7808,7,2.0794,0.2706
Ol4KW8Xx4lzPitSOw2ZdSA,6.2227,6.5244,5,1.7918,0.2405
AR3o0u7uS0JmaD5AsZSCKQ,6.2102,8.7835,2,1.0986,0.2656
575inWPYxLk4YzwWqRhexw,6.1691,16.8372,3,1.3863,0.2125
aa8dyLuupbMRyexfCRiLIQ,6.1438,1.7019,7,2.0794,0.2336
WI3Uqjxn9M-n0Ob90B6WdQ,6.112,21.8389,1,0.6931,0.2183
FG7_-7LtVdOecAqThoFOOA,6.0726,14.2187,3,1.3863,0.2364
rB067lnTKVSiMU46z24BHg,6.0472,15.0676,6,1.9459,0.2188
3_WGRjRrnZX2b4ZVpjmL6w,6.0357,8.1335,6,1.9459,0.2515
4ijsuCOtiM7k2AUi6dxivw,6.0256,17.0197,2,1.0986,0.2206
I1LP0Vg55lwufnoNREE1KA,6.006,2.65,1,0.6931,0.2145
qF67yjt2u_iL2D9RaqA4JA,6.0,1.8072,1,0.6931,0.4
wTCA2ZJsssbOCjG0h0ZiGg,5.9982,9.9575,4,1.6094,0.2654
4bOqibZuKDbnOa-K0kM4Sg,5.9538,11.6994,12,2.5649,0.2617
I8Mp86nc0nWOkBZ_Byc6cQ,5.9488,10.339,2,1.0986,0.2774
qnTszlGgzUBu44tdQR7QgQ,5.9223,8.6744,7,2.0794,0.2378
PwbeSKSCBnqXJlAxEaUrnA,5.8584,17.0939,6,1.9459,0.2267
iFunuVzrg10UesZvMPCHHg,5.8465,9.5816,5,1.7918,0.2723
6bT5PaG9xC-V76O4dtDOrg,5.8202,7.6769,3,1.3863,0.2357
OgVdHdnjUP1vl5_N47Hl5w,5.8,21.5009,4,1.6094,0.255
GqOxD_FrVMI-Y90IqKY6tA,5.7541,4.2207,5,1.7918,0.2616
zXCB28oFHB3SFNPKIDpdfw,5.73,1.9828,2,1.0986,0.2325
IW8pYqyGYiTHYFMODP9EDg,5.6775,12.6356,2,1.0986,0.2271
NJg2ookzRGD2Ej-VNpuY-w,5.5784,9.5733,4,1.6094,0.2333
z1llbFByQIFZP5Hb44-_zw,5.5662,8.6314,3,1.3863,0.2956
4h2aDySstuLkoPcykUeyIA,5.5466,5.267,3,1.3863,0.2311
NjGEZDE09_3M85cSHWUDqw,5.5328,18.5442,4,1.6094,0.3194
pafrjSu3h0v0N8GR3ghNtQ,5.5097,12.8145,6,1.9459,0.2309
s6rOJDtIABdQ8uLlXSUvgw,5.4301,7.9976,4,1.6094,0.2358
dMbCdmoXHFXPueEiBP6wsA,5.4071,6.064,7,2.0794,0.2337
ctHjyadbDQAtUFfkcAFEHw,5.4002,15.1772,6,1.9459,0.2842
kZ1q0K13tFYG_ZJrVvsJHA,5.3757,9.1432,4,1.6094,0.256
G_BOL9TKv5UlDup6sUrwwg,5.3714,18.749,2,1.0986,0.2423
4r3Ck65DCG1T6gpWodPyrg,5.3424,7.3717,6,1.9459,0.2671
y7uCkICTDCVWuNtOQGXNww,5.3404,7.4882,4,1.6094,0.252
bLbjB2EeIQLFUS9ofKS-lw,5.3315,4.6762,3,1.3863,0.2353
NIpZBy1O1JFj9x2bcErZlQ,5.3231,18.2671,6,1.9459,0.2246
GpEEc2ErQ2TgQk5sGYx9aw,5.3082,2.419,3,1.3863,0.3122
Ps05fcj2yu0JjGBZ4FJpLw,5.3005,6.2474,3,1.3863,0.265
TTl2V6mG7IAMi_JK16bgow,5.2711,12.2599,2,1.0986,0.2214
F6HCLpKegKxE6g1jyUaqiQ,5.249,7.2994,4,1.6094,0.223
ipRXCy-0ChYK_569rPqzJQ,5.2281,9.7856,7,2.0794,0.2752
gbcWVIt0cSJ2iDYXx9lEOQ,5.2271,6.8365,3,1.3863,0.2349
JFqUtPvhBe7QEyEhA2Z2SQ,5.2224,6.8608,5,1.7918,0.2296
3kiB39JzdovdlOhQj-nMCw,5.2147,4.2302,3,1.3863,0.2613
fp7YGW_YMQ3-6BmZbZu50w,5.1945,2.2142,2,1.0986,0.2623
52wI_37D-KzejinRP70SiQ,5.1935,6.5713,3,1.3863,0.2361
yz0KWVamNhqiZGz7XTClzg,5.1798,16.8282,8,2.1972,0.2655
NgMJ4gseQr-CxZt01eDIBA,5.153,13.8222,5,1.7918,0.2712
SJM5bSgqdmAPSiuB4MWNIw,5.0922,4.3737,5,1.7918,0.2546
53gUoERjmiUBcvSZs0ayQg,5.0656,16.884,1,0.6931,0.2303
2CrM7eYAT_vnEQnd2zTf6Q,5.0555,5.731,6,1.9459,0.2661
FozqhmYlHTylkb-Vl-GrpA,5.0145,17.3305,1,0.6931,0.2786
ng457WGt-tpVIAISMNN3HQ,5.0027,7.6799,2,1.0986,0.2248
JK6a5IRnPg1tQA3FruwaQw,4.9993,5.5058,4,1.6094,0.2777
s2F9H5wDvH3LJqBfThmflA,4.967,16.1768,7,2.0794,0.2251
L_spYpnf75W6mQcIY-6OBA,4.9496,13.6547,4,1.6094,0.253
nvUoCZ-m21m2yRZq5ugQhw,4.9435,8.2513,4,1.6094,0.2746
J1XdgoK5-wabYDTGKAIzCQ,4.933,4.0015,2,1.0986,0.2349
6PmGl1cgMRm0oe5Idu8CZw,4.9296,14.8398,6,1.9459,0.2241
qZESNk2maE2eukjXU6FYfA,4.9029,4.2298,1,0.6931,0.2335
JHRlwxxKY0JJcU97rJ-Bug,4.9,9.4113,8,2.1972,0.2882
2RESuerAAakw2qjiB_pPOw,4.8891,2.3158,2,1.0986,0.2573
PPLL0MyT7Rckf1ZGfC65AQ,4.8873,2.5124,6,1.9459,0.2707
HqV4cganalEtEtKGALbzOQ,4.8854,8.1331,2,1.0986,0.2326
fgDaZkRNZbxdXzsj04xa3A,4.8812,9.7256,3,1.3863,0.2382
iNNyHLVnhrNqEHvcL4-CdQ,4.8799,10.563,4,1.6094,0.2218
Nq1Kn7ud84upBHz9chFW0A,4.879,8.7057,5,1.7918,0.2316
V8we7-uCa-SouadZmZ9Ieg,4.8752,1.7354,3,1.3863,0.203
RKoOl8BbYHbki6Fn5FjViw,4.8657,16.0767,2,1.0986,0.2116
gPgUoNGqn3NmzyqYtYQ0ZA,4.8629,5.5788,4,1.6094,0.2861
oe2CHa8vyTL49e2O2Pzf6Q,4.8384,14.6889,1,0.6931,0.2304
-yjeVS1Z2ebMigkEd9jnfQ,4.7855,10.2169,1,0.6931,0.2393
viC-j3vKaSl2rUuR0gFWNQ,4.7746,11.1076,2,1.0986,0.2813
vd7LTCGyxHOeO8FnWVbHzw,4.7726,9.8664,2,1.0986,0.2294
t9genPFreMXsZ-znukJHuw,4.7434,4.5394,5,1.7918,0.2498
262dmM9ixxYp5K5UdmuaCw,4.7271,9.8082,4,1.6094,0.2432
2IahpaBR4U2Kdy9HF28EQA,4.7001,5.4823,1,0.6931,0.2238
cHPeulZjtuyuEJHihAYQ7g,4.682,4.8209,2,1.0986,0.2601
FQskkrIuNMKRCQJuokI8gQ,4.6706,12.5985,8,2.1972,0.2048
R2d7A6pIadcVOPPHCpffrw,4.6619,13.26,3,1.3863,0.2641
l5cKnwfmnaG4QRZl7ZyNuA,4.6613,2.2502,2,1.0986,0.2119
ltBBYdNzkeKdCNPDAsxwAA,4.6579,14.903,9,2.3026,0.2105
H5RtbEUMJLA6EG1qBE_PjQ,4.62,3.358,3,1.3863,0.243
amZz4IPFbGLKrnL-bmM5Tg,4.6166,9.0159,7,2.0794,0.243
dM2LrfuOqlRHdRKI_FFwCg,4.6162,7.2813,5,1.7918,0.2113
SsB0kJpBhIDK8CrcRWXuYA,4.5668,15.4764,2,1.0986,0.2076
5Y4HAjtn0c0TY0aX4XME6w,4.5616,2.6818,1,0.6931,0.2401
