user_id,business_id,rank,score,u_beh,c_mob,r_ctx,weight_beh,weight_mob,weight_ctx
A32mMAKFN88abZLJUJjlqQ,9xdXS7jtWjCVzL4_oPGv9A,6,0.8343,0.9256,0.7615,0.6859,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,FEXhWNCMkv22qG04E83Qjg,7,0.8329,1.0,0.6949,0.7627,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,OAjof8dhS2zScmZh2Xuo1A,8,0.7316,0.7025,0.7553,0.7589,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,3wo9jODQnuvBm8Gkem6qXg,9,0.8252,0.8164,0.8301,0.9334,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,iSRTaT9WngzB8JJ2YKJUig,10,0.8613,1.0,0.7485,0.7333,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,g04aAvgol7IW8buqSbT4xA,11,0.8021,0.8716,0.7441,0.7989,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,AzseSGgDC6bVtMPEYo1CNQ,12,0.7972,0.8083,0.7905,0.6891,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,_C7QiQQc47AOEv4PE3Kong,13,0.7962,1.0,0.6275,0.7307,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,h6IzeUVASeDtvKhd2PEsKA,14,0.7745,0.7399,0.8017,0.8486,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,W4ZEKkva9HpAdZG88juwyQ,15,0.8453,0.951,0.7593,0.7467,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,-xaY1TlMf20Ol9QLcDSU6Q,16,0.7703,0.8858,0.6736,0.7749,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,6ajnOk0GcY9xbb5Ocaw8Gw,17,0.703,1.0,0.45,0.9174,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,pym7c6ZFEtmoH16xN2ApBg,18,0.8227,0.8354,0.8142,0.7355,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,DcBLYSvOuWcNReolRVr12A,19,0.8424,1.0,0.7128,0.7589,0.449,0.538,0.012
A32mMAKFN88abZLJUJjlqQ,F9OFNrITmQ1a9glscJ20ag,20,0.6865,0.549,0.7997,0.7547,0.449,0.538,0.012
ENp1c3ej5_C0QKZz0lgjHA,L5LLN0RafiV1Z9cddzvuCw,1,0.9207,1.0,0.859,0.9262,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,fCDMLD21ypv1XZ_EyafCkQ,2,0.9148,0.9836,0.8626,0.8442,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,DXDoh8MNrqjtXsZnkuk4hA,3,0.9109,0.9862,0.8549,0.7666,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,3YqUe2FTCQr0pPVK8oCv6Q,4,0.9176,1.0,0.8562,0.773,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,SwBhaxfQPbyhsi0QHUAN0A,5,0.9149,1.0,0.851,0.7858,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,LdECsE8lJS7v5GTFTcjPSg,6,0.8866,0.9332,0.8519,0.7966,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,sihT-_DtwOdnDDDJbXN22A,7,0.8769,0.9058,0.8543,0.8802,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,2KIDQyTh-HzLxOUEDqtDBg,8,0.8428,0.833,0.8537,0.6626,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,9f5GXEeTvBWnrZ-AHEjgJQ,9,0.8679,0.8895,0.8526,0.7858,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,0d1dpaZqcm7litFOJl7atA,10,0.7832,0.6759,0.8648,0.8822,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,TV81bpCQ6p6o4Hau5hk-zw,11,0.8246,0.793,0.8511,0.7186,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,p_qSQwShIgQnNxGcajI4-w,12,0.9061,0.9682,0.8579,0.9022,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,n_7EQxn0ciucIOJfpWVaTQ,13,0.7964,0.7212,0.8534,0.8782,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,nYsNsyIppe_DTueBha1x9A,14,0.8752,0.8739,0.8783,0.7602,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,RqW9S4WG9UYZHKhHRHXJZg,15,0.7963,0.7242,0.8517,0.8322,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,EmHXLffnzvntWzO6Ba3Atw,16,0.7833,0.6917,0.8526,0.8922,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,ezB8e2rijjViprrcTdIiQQ,17,0.8045,0.7434,0.8525,0.7714,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,RRCgIohWjaeGtlbpcYJBbw,18,0.7748,0.6742,0.8544,0.6914,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,cd-rz-piYMftZtbFU82x8g,19,0.7747,0.6752,0.8502,0.8722,0.433,0.557,0.01
ENp1c3ej5_C0QKZz0lgjHA,1Vo4BLw75ntATAJHYsxO3g,20,0.7879,0.7103,0.85,0.683,0.433,0.557,0.01
5kNkqWZvn4FYRSK3ffSz0A,oIH5YWPy_g61YXM6R900Wg,1,0.9328,1.0,0.8837,0.9922,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,ORL4JE6tz3rJxVqkdKfegA,2,0.9104,0.9987,0.8503,0.661,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,nRKndeZLQ3eDL10UMwS2rQ,3,0.8967,0.9565,0.8563,0.7118,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,I_3LMZ_1m2mzR0oLIOePIg,4,0.9162,1.0,0.8588,0.7134,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,VAeEXLbEcI9Emt9KGYq9aA,5,0.9136,1.0,0.8534,0.7822,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,OWOOc0YjU_kioLeEgo5VCA,6,0.9082,0.9924,0.85,0.7422,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,iRIHK8-EwpeffwvoO4nzIA,7,0.9,0.9696,0.8525,0.7278,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,HKS-63JzfR0DMNVLBuokYw,8,0.8303,0.7844,0.8639,0.7838,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,1b5mnK8bMnnju_cvU65GqQ,9,0.9209,1.0,0.8636,0.9518,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,YPTYOQO8Lg9BtHsRwYBY7g,10,0.8465,0.835,0.853,0.9698,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,OBHirkn1QCd7rsYHYtSdwQ,11,0.8392,0.8251,0.85,0.7986,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,dGUyXgFW1WSYMgRypKaYew,12,0.9173,1.0,0.8596,0.797,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,16tjKOvMw_nOgNViq2LwOQ,13,0.8221,0.778,0.8553,0.7118,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,6Pu5MKIWbn6FO-oebSSrYQ,14,0.9123,0.9774,0.8675,0.7726,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,yZHiutcbym-xLGkmFhP-9A,15,0.8049,0.7398,0.8522,0.7646,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,LmKpHMXSsm36viJOGVodFw,16,0.7783,0.6773,0.8524,0.6702,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,gVU0U7gNBMQxKTzqmRtdLg,17,0.8989,0.9258,0.8789,0.9478,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,NiljjvbIIzQPxIPqeLLg2Q,18,0.8126,0.754,0.8552,0.7826,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,DJFxBTBIgYErzKS5cA_LiQ,19,0.789,0.6994,0.8536,0.7682,0.415,0.577,0.008
5kNkqWZvn4FYRSK3ffSz0A,M0r9lUn2gLFYgIwIfG8-bQ,20,0.8775,0.8925,0.8684,0.7538,0.415,0.577,0.008
C0zPxDfk0y0Ze12sFOgdeA,6ajnOk0GcY9xbb5Ocaw8Gw,1,0.6932,1.0,0.45,0.8876,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,fM6XQeGW70a4EFbjqAAy3Q,2,0.6561,0.4059,0.8498,0.7581,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,J6ZSgoKCLBDMMzuhM-aYGg,3,0.6181,1.0,0.3158,0.8384,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,1b5mnK8bMnnju_cvU65GqQ,4,0.6176,1.0,0.3136,0.9076,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,U3grYFIeu6RgAAQgdriHww,5,0.6105,1.0,0.3005,0.9296,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,q-zV08jt6U-q05SMEuQJAQ,6,0.6187,0.9927,0.3237,0.7725,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,nRKndeZLQ3eDL10UMwS2rQ,7,0.5923,0.9565,0.3063,0.6765,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,9xdXS7jtWjCVzL4_oPGv9A,8,0.5761,0.9256,0.3016,0.6621,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,ytynqOUb3hjKeJfRj5Tshw,9,0.6925,1.0,0.45,0.8196,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,OdIBX09glfXNVSyd0RnIeg,10,0.6806,1.0,0.4299,0.7517,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,jEvoDXtF3xMJsiPPbqGSmw,11,0.635,0.355,0.848,0.9556,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,L5LLN0RafiV1Z9cddzvuCw,12,0.615,1.0,0.309,0.9116,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,SwBhaxfQPbyhsi0QHUAN0A,13,0.6095,1.0,0.301,0.8004,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,fCDMLD21ypv1XZ_EyafCkQ,14,0.6091,0.9836,0.3126,0.8296,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,8uF-bhJFgT4Tn6DTb27viA,15,0.6079,1.0,0.3,0.6925,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,ORL4JE6tz3rJxVqkdKfegA,16,0.6075,0.9987,0.3003,0.6963,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,OWOOc0YjU_kioLeEgo5VCA,17,0.6047,0.9924,0.3,0.7069,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,I_3LMZ_1m2mzR0oLIOePIg,18,0.6126,1.0,0.3088,0.6781,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,3YqUe2FTCQr0pPVK8oCv6Q,19,0.612,1.0,0.3062,0.7613,0.434,0.556,0.01
C0zPxDfk0y0Ze12sFOgdeA,iRIHK8-EwpeffwvoO4nzIA,20,0.596,0.9696,0.3025,0.6925,0.434,0.556,0.01
ed09bdGGy71Ygx9evbvBJw,1b5mnK8bMnnju_cvU65GqQ,1,0.8666,1.0,0.7615,0.966,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,oIH5YWPy_g61YXM6R900Wg,2,0.8119,1.0,0.6633,0.978,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,ytynqOUb3hjKeJfRj5Tshw,3,0.6918,1.0,0.45,0.878,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,6Pu5MKIWbn6FO-oebSSrYQ,4,0.8107,0.9774,0.6824,0.784,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,dGUyXgFW1WSYMgRypKaYew,5,0.8027,1.0,0.6506,0.7856,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,gVU0U7gNBMQxKTzqmRtdLg,6,0.7949,0.9258,0.6905,0.962,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,3iUCCf1FWmjlFbGYvBgf9w,7,0.7852,0.8739,0.7126,0.988,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,J6ZSgoKCLBDMMzuhM-aYGg,8,0.6159,1.0,0.3158,0.78,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,wUZXm4KN2wIqlfkvXVZXUw,9,0.7328,0.8023,0.6792,0.7312,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,fCDMLD21ypv1XZ_EyafCkQ,10,0.6082,0.9836,0.3126,0.888,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,q-zV08jt6U-q05SMEuQJAQ,11,0.6172,0.9927,0.3237,0.7808,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,2OXCAbz3x_MrQSYj1zarIA,12,0.7526,0.8896,0.646,0.784,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,ReX09lhufLTAx19krkltDA,13,0.7036,0.8868,0.5602,0.7984,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,OdIBX09glfXNVSyd0RnIeg,14,0.6797,1.0,0.4299,0.7984,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,6ajnOk0GcY9xbb5Ocaw8Gw,15,0.6926,1.0,0.45,0.946,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,3_WGRjRrnZX2b4ZVpjmL6w,16,0.7241,0.657,0.7757,0.736,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,4Cal2AE6cr7m6nL20Rz2kQ,17,0.6891,0.6885,0.6851,0.916,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,4bOqibZuKDbnOa-K0kM4Sg,18,0.7275,0.7271,0.7268,0.7824,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,UlGS2NxZSiph33E3nfovRw,19,0.7116,0.692,0.726,0.7488,0.431,0.558,0.011
ed09bdGGy71Ygx9evbvBJw,3YqUe2FTCQr0pPVK8oCv6Q,20,0.6107,1.0,0.3062,0.792,0.431,0.558,0.011
RSgVc38-QwqaddDyY_8qiA,6ajnOk0GcY9xbb5Ocaw8Gw,1,0.9979,1.0,0.9981,0.8794,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,ytynqOUb3hjKeJfRj5Tshw,2,0.9972,1.0,0.9978,0.8114,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,q-zV08jt6U-q05SMEuQJAQ,3,0.8999,0.9927,0.8329,0.7659,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,OdIBX09glfXNVSyd0RnIeg,4,0.9857,1.0,0.9785,0.7451,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,rgeuy1qbw6Z8B6CSVANHIA,5,0.9547,0.8981,0.9974,0.9054,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,IWHdx0NhDKADkGOgXgOFKQ,6,0.9966,1.0,0.9979,0.7371,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,Qw7tz-UkPrpXaVidWuab4Q,7,0.8826,0.8779,0.8894,0.6571,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,IkY2ticzHEn4QFn8hQLSWg,8,0.9345,1.0,0.8905,0.6181,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,eaDZlSuVS0EY67Ke6pRP6Q,9,0.904,0.7775,0.9967,0.9894,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,mzTTdvQGkUHZ8ii7OnZC5w,10,0.9203,0.8796,0.9529,0.7595,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,iUZEGx29miZObLd6_lt7Vg,11,0.9287,0.9312,0.9272,0.9054,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,lpDOqBhkJlxACzKQGAj_uA,12,0.8724,0.7967,0.9277,0.9386,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,atZ_olNKXOG4rEr6mccN8g,13,0.923,0.8244,0.9979,0.8074,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,-mIlmp5l4hKlp1tvHRdvTg,14,0.9111,0.9125,0.9124,0.7547,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,cGX-1IUwXOjkUqZbkKYcjw,15,0.8793,0.722,0.9983,0.7243,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,eoN0GAIRV0WmwUm7FmzKgQ,16,0.852,0.6798,0.9778,0.9886,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,PP3BBaVxZLcJU54uP_wL6Q,17,0.9358,1.0,0.8911,0.7317,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,mf0OyZ6DX2iKUFIV9TqFRQ,18,0.8818,0.7278,0.9975,0.7909,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,eMiN8nm70jjKg8izikVWDA,19,0.7886,0.6742,0.8712,0.9486,0.422,0.569,0.008
RSgVc38-QwqaddDyY_8qiA,MMRRS6YhVRx_iN5-JhMRYg,20,0.8258,0.7199,0.9026,0.9474,0.422,0.569,0.008
7_aMztzFtUKdScH1k2SqOA,RQAF6a0akMiot5lZZnMNNw,1,0.7968,0.9986,0.6447,0.7717,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,Rmx12lwZbs94MkPaS2o7vw,2,0.7826,0.6847,0.8534,0.9574,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,XC30E7D4gfIrLmh4d4prSw,3,0.7218,0.551,0.8502,0.7675,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,ohWH383r60AREWh-aphpSw,4,0.6987,0.4692,0.8725,0.6891,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,wm5mQ4cSpvko9WlCq07RFw,5,0.7729,0.6669,0.8535,0.7493,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,8xuhKP08513N2W32JOMW4Q,6,0.7539,0.6167,0.8566,0.8094,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,ytynqOUb3hjKeJfRj5Tshw,7,0.6894,1.0,0.4509,0.8846,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,scotX4dcVT8Co0Nyy1pDYA,8,0.709,0.5241,0.848,0.7595,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,qxRTFagnexBZgDe055CjkQ,9,0.7495,0.6094,0.8552,0.7675,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,8_VaLzyX-H0nzbFIKcoyjQ,10,0.7029,0.6858,0.7145,0.7755,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,U158K3VPSN8ZFlJ1rlR4FA,11,0.7125,0.5248,0.85,0.9534,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,qsm7SkX60JsajT7Yz248FA,12,0.6944,0.6678,0.713,0.7755,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,5zTGhEeKl6Kz-ULDgyOurg,13,0.7048,0.5841,0.7944,0.7957,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,o3X9fjmFXk0chl7PcXv5uQ,14,0.6944,0.4798,0.8516,0.9686,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,prZjGYZFtZ05e80cSEYyjg,15,0.6903,0.5145,0.8215,0.7931,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,Kk8sIQGaYCA-SQjgDZ8pBw,16,0.7056,0.5049,0.8529,0.9574,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,IFF5jFfQwKRwL2Vd28BCTQ,17,0.7335,0.5755,0.849,0.9494,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,1LUZupYFJ6CxSKU37qDSXw,18,0.7049,0.507,0.8542,0.7275,0.426,0.563,0.01
7_aMztzFtUKdScH1k2SqOA,OdIBX09glfXNVSyd0RnIeg,19,0.6771,1.0,0.4306,0.7963,0.426,0.563,0.01
