business_id,name,categories,city,latitude,longitude,state,stars,review_count,country,city_state_country_display
wcpL6sD6jKsBO0tbdK2KEA,McDonald's,"Restaurants, Coffee & Tea, Fast Food, Burgers, Food",Fishers,39.9575816,-86.0106627,IN,2.0,34,United States,"Fishers, IN, United States"
2qhuQ-tnonyLEQLw2cbvAg,Tim Hortons,"Food, Coffee & Tea",Edmonton,53.6301604595,-113.5449765623,AB,3.0,9,Canada,"Edmonton, AB, Canada"
0pMj5xUAecW9o1P35B0AMw,Wawa,"Food, Coffee & Tea, Gas Stations, Restaurants, Automotive, Sandwiches, Convenience Stores",Norristown,40.141292,-75.389286,PA,3.5,8,United States,"Norristown, PA, United States"
5EGhvgDt_E-JPl4EhQkOtg,Edgehill Cafe,"Coffee & Tea, Food, Restaurants, Internet Cafes, Breakfast & Brunch",Nashville,36.024589,-86.71193,TN,4.0,7,United States,"Nashville, TN, United States"
4FaYG9qKDpDyr68bKmaIEw,Capitol Cellars,"Restaurants, Bars, Wine Bars, American (Traditional), Nightlife, American (New), Wineries, Local Flavor, Coffee & Tea, Food, Breakfast & Brunch, Steakhouses, Arts & Entertainment",Boise,43.6135729,-116.1999038,ID,4.0,176,United States,"Boise, ID, United States"
yUcMPv-B9gCUUNT-GUiJbw,The flagpole Nola,"Shaved Ice, Juice Bars & Smoothies, Desserts, Coffee & Tea, Food",New Orleans,29.9724753,-90.0724686,LA,5.0,30,United States,"New Orleans, LA, United States"
L7mbUPFMAfetY0fzuYtZ_g,Dunkin',"Restaurants, Donuts, Coffee & Tea, Food",Delran,40.0153779791,-74.9543424694,NJ,3.0,7,United States,"Delran, NJ, United States"
Ei0wJeADbNtwvA9CrvknJw,Cocco's Gelateria,"Coffee & Tea, Bakeries, Desserts, Food, Ice Cream & Frozen Yogurt",Primos,39.9199693,-75.2984646,PA,4.5,37,United States,"Primos, PA, United States"
Iuir7lUtx-LMhYtStwyf3Q,Another Broken Egg Cafe,"American (Traditional), Restaurants, Breakfast & Brunch, Cafes, Bars, Nightlife, Cocktail Bars",Indianapolis,39.904151,-86.083809,IN,4.0,26,United States,"Indianapolis, IN, United States"
wMJlbZt2vOTG_FV96gkRVA,Dunkin',"Donuts, Food, Coffee & Tea, Restaurants",Cherry Hill,39.9374871,-75.0363126,NJ,3.5,6,United States,"Cherry Hill, NJ, United States"
RrqRin8BYGrTlJbCDwtLzA,Wawa,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches",Philadelphia,39.9510885597,-75.1989988336,PA,3.5,50,United States,"Philadelphia, PA, United States"
IgNDlyLERBwFGphgcC5VDQ,Cosi,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)",Philadelphia,39.9487514826,-75.1604487143,PA,2.5,63,United States,"Philadelphia, PA, United States"
QpPc51mH86xyrRmnFijpTQ,Kávé Express,"Coffee & Tea, Juice Bars & Smoothies, Food",Hendersonville,36.3027229388,-86.6324932185,TN,4.5,50,United States,"Hendersonville, TN, United States"
W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,"Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife",New Orleans,29.9543868,-90.0683629,LA,4.0,2064,United States,"New Orleans, LA, United States"
sZyBB8wv0O1We1x40-Edug,Dunkin',"Donuts, Food, Bagels, Coffee & Tea",Riverview,27.834780999,-82.3281975657,FL,2.5,30,United States,"Riverview, FL, United States"
oY6osC4Ch3PvguA7D1hh_w,Starbucks,"Coffee & Tea, Food",Cinnaminson,40.000157,-74.9873134,NJ,4.5,7,United States,"Cinnaminson, NJ, United States"
KXVn1sHOBrLvARWYUhI-lg,Stardust Tea Spices and Beads,"Specialty Food, Food, Coffee & Tea, Arts & Crafts, Shopping, Art Supplies, Herbs & Spices",Nashville,36.1384241,-86.8791496,TN,4.5,6,United States,"Nashville, TN, United States"
VJnq2lgXILRaGuXXlmRztw,Eagles Peak Spring Water,"Coffee & Tea, Food, Water Delivery, Local Services",Fountainville,40.34061,-75.150473,PA,2.0,18,United States,"Fountainville, PA, United States"
koeubKPpi6ax4FDh7_zcWg,Palo De Azucar Cafe,"Cafes, Restaurants, Food, Coffee & Tea",Trenton,40.2071578,-74.7499323386,NJ,5.0,5,United States,"Trenton, NJ, United States"
4TQMOy00KD_54xSFwKgMZw,Ndulge,"Restaurants, Thai, Food, Cafes, Cupcakes",Philadelphia,40.025842293,-75.2243893677,PA,3.5,15,United States,"Philadelphia, PA, United States"
C3roKH0ekXBz8l0ZoUIvAA,Roadrunner Coffee Co.,"Restaurants, American (Traditional), Food, Juice Bars & Smoothies, Coffee & Tea",Tucson,32.2865595,-110.9982234,AZ,4.0,9,United States,"Tucson, AZ, United States"
hGy3actugEISbvEGQeMz3A,Dunkin',"Food, Donuts, Coffee & Tea",Royersford,40.1905208,-75.5320826,PA,2.0,23,United States,"Royersford, PA, United States"
k0AO8X3VzWe_F4lkMb0eSg,The Cubby Hole,"Breakfast & Brunch, Coffee & Tea, Restaurants, Sandwiches, Food",Moorestown,39.9647367,-74.9453088,NJ,4.5,202,United States,"Moorestown, NJ, United States"
COclRBaXBjYpomS4syUmvg,Monon Coffee Company,"Restaurants, Food, Coffee & Tea",Indianapolis,39.870878,-86.1422438,IN,4.0,170,United States,"Indianapolis, IN, United States"
I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,"Juice Bars & Smoothies, Sandwiches, Food, Restaurants, Coffee & Tea",Philadelphia,39.931855,-75.168473,PA,3.5,47,United States,"Philadelphia, PA, United States"
j_eImSxsxnW0FCM1b5ekEQ,Frost & Bean Gelato & Coffee Laboratory,"Coffee & Tea, Food, Gelato",Dunedin,28.0104187049,-82.7897292149,FL,4.0,11,United States,"Dunedin, FL, United States"
5QCLmv-JrdY0ZGc_D5__iw,Wheel Cafe,"Coffee & Tea, Cafes, Food, Breakfast & Brunch, American (New), Restaurants, American (Traditional)",Dunedin,28.019385,-82.7742533,FL,4.5,68,United States,"Dunedin, FL, United States"
tjEKEDmyR_VmeBkJGwreLA,Dunkin',"Food, Donuts, Coffee & Tea",Tampa,28.0127575,-82.5055465,FL,2.0,21,United States,"Tampa, FL, United States"
aYJjJMN8heS2PmkvsQzaZg,Treme Coffeehouse,"Restaurants, Bagels, Coffee & Tea, Cafes, Food",New Orleans,29.9654586,-90.0695669,LA,4.5,137,United States,"New Orleans, LA, United States"
9sdu-m075T6qdB46wXP46w,Krispy Kreme,"Food, Donuts, Coffee & Tea",Nashville,36.1521600733,-86.8027144035,TN,3.0,65,United States,"Nashville, TN, United States"
AaWmckcT3O1iQSAIUmzwUA,Basimo Beach Cafe,"Breakfast & Brunch, Restaurants, Juice Bars & Smoothies, Cafes, Coffee & Tea, Food",Clearwater,27.9519956663,-82.829717,FL,4.0,339,United States,"Clearwater, FL, United States"
pxuMxh5oC7W-PDN9wwvozg,Starbucks,"Coffee & Tea, Food",Reno,39.527772,-119.812518,NV,3.0,44,United States,"Reno, NV, United States"
Up2hJViJJf61k9V3jFbvzg,Cafe Arnold Neighborhood Grill,"Restaurants, Sports Bars, Bars, Barbeque, American (Traditional), Nightlife, Food, Beer, Wine & Spirits, Cafes",Arnold,38.4060687852,-90.3770434828,MO,2.5,9,United States,"Arnold, MO, United States"
-rTJCKclkU_ZnoQb4oKa9w,Fray's Donut House,"Breakfast & Brunch, Coffee & Tea, Restaurants, Donuts, Food",Saint Petersburg,27.820184,-82.655327,FL,4.5,60,United States,"Saint Petersburg, FL, United States"
5TVWytR2oNbSKYgfxypuBw,La Patisserie Chouquette,"Cafes, Food, Bakeries, Restaurants",Saint Louis,38.6197152,-90.2556467,MO,4.0,229,United States,"Saint Louis, MO, United States"
nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,"Shopping, Restaurants, Cafes, Fashion",Philadelphia,39.9813471541,-75.1322471288,PA,4.5,10,United States,"Philadelphia, PA, United States"
UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,"Themed Cafes, Cafes, Pets, Arts & Entertainment, Women's Clothing, Coffee & Tea, Shopping, Pet Adoption, Fashion, Pet Sitting, Accessories, Pet Stores, Pet Services, Food, Restaurants",Santa Barbara,34.4233018995,-119.7054707479,CA,4.5,116,United States,"Santa Barbara, CA, United States"
xb-qtXVZ7xFr51Se5fAZjg,Saige Café,"Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Cafes, Juice Bars & Smoothies",Philadelphia,39.9667910353,-75.1400172338,PA,3.0,14,United States,"Philadelphia, PA, United States"
IazLGcO9aggJnMMa_5UO1Q,Kimberton Whole Foods - Collegeville,"Juice Bars & Smoothies, Restaurants, Food, Coffee & Tea, Specialty Food, Organic Stores, Health Markets, Grocery, Sandwiches, Shopping, Vitamins & Supplements",Collegeville,40.1826806624,-75.4521030608,PA,5.0,6,United States,"Collegeville, PA, United States"
l8uzbLGk9CLjElcWGyBZ0Q,Transcend Coffee - Ritchie Market,"Food, Cafes, Coffee & Tea, Restaurants",Edmonton,53.51263,-113.476381,AB,4.5,32,Canada,"Edmonton, AB, Canada"
uxoQdZD3mEptaPohiLQg1w,Stone House Grille,"Coffee & Tea, Pubs, Restaurants, Bars, Food, American (New), Nightlife, Breakfast & Brunch, Brewpubs, Breweries",Kimberton,40.1298141,-75.5764069,PA,4.5,56,United States,"Kimberton, PA, United States"
jlkDIOPoRP9SJXTkRVpkMQ,BFF Cafe,"Greek, Food, American (New), Specialty Food, Cafes, Restaurants, Breakfast & Brunch, Vegetarian, Gluten-Free, Diners, Burgers",Reno,39.5001633,-119.8576794,NV,4.0,92,United States,"Reno, NV, United States"
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",Philadelphia,39.9486639126,-75.2158315415,PA,4.5,458,United States,"Philadelphia, PA, United States"
0_gh-ZRllduRLrjaYy0Icg,Wawa,"Gas Stations, Food, Automotive, Restaurants, Sandwiches, Convenience Stores, Coffee & Tea",Narberth,40.0122256739,-75.2619556997,PA,3.0,13,United States,"Narberth, PA, United States"
i9eMSNpOA8BfHGZrM-9sZg,Kung Fu Tea,"Bubble Tea, Juice Bars & Smoothies, Food, Coffee & Tea",Cherry Hill,39.8892597,-75.0158522,NJ,4.5,10,United States,"Cherry Hill, NJ, United States"
wDE1AfRVCKUL11hKehQEfQ,Cafe with Soul,"Breakfast & Brunch, Restaurants, Soul Food, Cafes, Food",Doylestown,40.3320849,-75.1305488,PA,3.5,26,United States,"Doylestown, PA, United States"
w8C_pRQvdIXQ5VRWlW2M3w,The Human Bean,"Juice Bars & Smoothies, Bagels, Coffee & Tea, Food",Reno,39.4921888,-119.7886223687,NV,4.5,37,United States,"Reno, NV, United States"
iapJoe3OzxeZqOGUJxnG3w,Fresh Healthy Cafe,"Cafes, Juice Bars & Smoothies, Restaurants, Fast Food, Food",Sherwood Park,53.5568884242,-113.2741134955,AB,3.5,8,Canada,"Sherwood Park, AB, Canada"
lo2VbA7Lwzu3i23pQpmzlw,Starbucks,"Food, Coffee & Tea",Gloucester Township,39.78403,-75.05207,NJ,3.0,15,United States,"Gloucester Township, NJ, United States"
0oogOBGXNj39Wnl2SKoe0w,Breakfast Club,"Restaurants, Breakfast & Brunch, Coffee & Tea, Food",Port Richey,28.3052669,-82.7011217,FL,4.5,80,United States,"Port Richey, FL, United States"
aJpDjaMVhWZRLdwZtqQjEg,T.H.I.S. Place,"Ice Cream & Frozen Yogurt, Vietnamese, Desserts, Food, Coffee & Tea, Restaurants",Edmonton,53.5460723,-113.5012494,AB,4.5,24,Canada,"Edmonton, AB, Canada"
ws-gbVjt56zCQC-CR5pjTQ,Dunkin',"Coffee & Tea, Bagels, Ice Cream & Frozen Yogurt, Food, Donuts",Ruskin,27.7139046,-82.3764519,FL,2.5,29,United States,"Ruskin, FL, United States"
lYxKXvDZGX9a3RwGuu0tPA,NY Bagel Cafe & Deli,"Restaurants, Coffee & Tea, Delis, Bagels, Food",Springfield,39.9245288,-75.3392149,PA,3.0,6,United States,"Springfield, PA, United States"
0zH0l4Jbf-oove3cLvrFOg,Vecchia Osteria,"American (New), Italian, Restaurants, Event Planning & Services, Food, Coffee & Tea, Caterers",Newtown,40.2280271,-74.9401945,PA,4.0,359,United States,"Newtown, PA, United States"
kgMEBZG6rjkGeFzPaIM4MQ,McDonald's,"Fast Food, Food, Restaurants, Coffee & Tea, Burgers",Philadelphia,39.9394402,-75.1668049,PA,2.0,55,United States,"Philadelphia, PA, United States"
EzHUZ4OqRKASptcx4qiYjA,Cafe Brasil,"Cafes, Restaurants",Saint Louis,38.6100525,-90.3636773,MO,2.5,8,United States,"Saint Louis, MO, United States"
bc3K8KvLkLNu_XU3RkeeeA,LeBuzz Caffe,"Breakfast & Brunch, Restaurants, Salad, Sandwiches, Coffee & Tea, Food",Tucson,32.260933,-110.891826,AZ,4.0,33,United States,"Tucson, AZ, United States"
vMD5bn1mbL18spr7Mmzlyg,Starbucks,"Food, Coffee & Tea",Marrero,29.880049,-90.098297,LA,2.5,50,United States,"Marrero, LA, United States"
ZyyExneJPXjci7yc2CGAPQ,Cups & Chairs,"Coffee & Tea, Food",Philadelphia,39.940311,-75.15099,PA,4.5,80,United States,"Philadelphia, PA, United States"
i7WnyDXKpT-mPaHEMY-HcQ,Harvest Coffee Roastery,"Sandwiches, Restaurants, Bagels, Coffee Roasteries, Coffee & Tea, Food",Voorhees Township,39.8514104,-74.9997241,NJ,4.0,13,United States,"Voorhees Township, NJ, United States"
cwvpVlg5BE2XXRWTHe3p9w,McDonald's,"Food, Burgers, Coffee & Tea, Fast Food, Restaurants",Sun City Center,27.7137051861,-82.3929427564,FL,2.0,24,United States,"Sun City Center, FL, United States"
bwlSGCjYLNwzXVD9CB_8EA,Hugs & Yogurt Cafe,"Ice Cream & Frozen Yogurt, Cafes, Juice Bars & Smoothies, Coffee & Tea, Food, Restaurants, Desserts",Willow Grove,40.1478414,-75.1280399,PA,4.0,15,United States,"Willow Grove, PA, United States"
XQfwVwDr-v0ZS3_CbbE5Xw,Turning Point of North Wales,"Restaurants, Breakfast & Brunch, Food, Juice Bars & Smoothies, American (New), Coffee & Tea, Sandwiches",North Wales,40.2101961875,-75.2236385919,PA,3.0,169,United States,"North Wales, PA, United States"
6WJ-dFE9axF2o55NQWrNgA,Tinker Coffee,"Food, Coffee & Tea, Breakfast & Brunch, Restaurants, Coffee Roasteries",Indianapolis,39.7148812,-86.2974891,IN,3.5,10,United States,"Indianapolis, IN, United States"
Bb3F76xkJrA-IwXLNK52RQ,Alchemy Coffee,"Food, Coffee & Tea",Philadelphia,39.9511237,-75.1755163,PA,5.0,19,United States,"Philadelphia, PA, United States"
-3-6BB10tIWNKGEF0Es2BA,The 81 Hong Kong Cafe,"Coffee & Tea, Asian Fusion, Food, Bubble Tea, Hong Kong Style Cafe, Taiwanese, Restaurants, Chinese",Tucson,32.2885403,-110.9631443,AZ,4.0,133,United States,"Tucson, AZ, United States"
nIE7ph1w_bttQMJQx5hUEQ,D-Town Bar & Grill,"Sports Bars, Nightlife, American (Traditional), Breakfast & Brunch, Cafes, Restaurants, Burgers, Bars",Dunedin,28.0192509782,-82.774851719,FL,3.0,91,United States,"Dunedin, FL, United States"
N7wYxm84QtcqTJZfGWpxzw,McDonald's,"Food, Restaurants, Fast Food, Burgers, Coffee & Tea",Franklin,35.9453792141,-86.8237428367,TN,2.5,24,United States,"Franklin, TN, United States"
aqubLw9IW03svL_uDXNJ8A,McDonald's,"Food, Burgers, Fast Food, Restaurants, Coffee & Tea",Florissant,38.8107873585,-90.2969466057,MO,1.5,11,United States,"Florissant, MO, United States"
WJIc6ZlR-pd9W-Vt-rRtzA,Anani Bistro,"American (New), Juice Bars & Smoothies, Coffee & Tea, Wine Bars, Restaurants, Cafes, Nightlife, Food, Bars, Acai Bowls",Gulfport,27.7389646,-82.7075848,FL,4.5,17,United States,"Gulfport, FL, United States"
SNYpn2BdTbz8QrrfH8rvdw,Wawa,"Restaurants, Sandwiches, Food, Delis, Grocery, Coffee & Tea",Bala Cynwyd,40.0185596288,-75.2403088108,PA,2.0,12,United States,"Bala Cynwyd, PA, United States"
8uF-bhJFgT4Tn6DTb27viA,District Donuts Sliders Brew,"Food, Donuts, Burgers, American (Traditional), Coffee & Tea, Restaurants",New Orleans,29.9294259,-90.0770687,LA,4.5,2062,United States,"New Orleans, LA, United States"
